Flex1,Flex2,Flex3,Flex4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
0,299,288,277,-2756,-1816,14492,40,177,-273
0,298,289,277,-2772,-1852,14248,2,157,-280
0,298,289,277,-2700,-1984,14340,-7,135,-280
0,298,289,277,-2844,-1908,14284,56,150,-279
0,299,289,277,-2820,-1872,14184,6,142,-283
0,299,289,277,-2924,-1908,14296,35,170,-290
0,298,289,277,-2768,-2004,14420,40,132,-292
0,299,289,278,-2792,-1912,14100,25,147,-285
0,299,289,278,-2788,-1736,14424,33,137,-270
0,299,289,277,-2924,-1832,14356,-13,148,-265
0,299,289,277,-2792,-1952,14280,8,159,-285
0,299,289,278,-2744,-2020,14320,6,173,-260
0,299,288,278,-2816,-1988,14312,33,128,-277
0,298,288,277,-2824,-1968,14192,-10,146,-285
0,299,289,277,-2736,-1884,14400,83,129,-263
0,298,289,277,-2756,-2088,14260,31,207,-244
0,299,289,277,-2736,-1928,14380,-58,189,-275
0,298,289,277,-2792,-1868,14368,46,203,-282
0,299,289,277,-2768,-1924,14208,8,170,-285
0,298,289,278,-2760,-2032,14228,13,105,-278
0,299,289,277,-2848,-1956,14336,15,135,-291
0,298,289,277,-2764,-1996,14332,30,169,-258
0,299,289,277,-2836,-2100,14316,7,140,-278
0,298,289,277,-2780,-1944,14468,23,95,-315
0,299,289,277,-2780,-1944,14324,54,170,-248
0,298,288,277,-2844,-1900,14432,17,143,-284
0,298,289,277,-2804,-1880,14384,26,118,-299
0,300,289,277,-2832,-1884,14360,-1,139,-316
0,298,289,277,-2788,-1984,14236,19,147,-295
0,299,288,278,-2684,-1892,14380,13,140,-287
0,299,288,277,-2796,-1932,14384,53,157,-275
0,299,289,277,-2832,-1904,14368,-2,178,-279
0,299,288,277,-2744,-1924,14320,-14,149,-309
0,299,289,277,-2744,-1996,14272,8,170,-268
0,299,289,277,-2708,-1904,14336,1,67,-303
0,299,289,277,-2820,-1932,14360,41,163,-289
0,299,289,277,-2744,-1920,14224,40,156,-281
0,298,289,277,-2804,-1968,14260,-9,184,-272
0,298,288,277,-2732,-1864,14492,5,182,-279
0,298,289,277,-2848,-1964,14308,97,106,-271
0,299,289,277,-2824,-1892,14160,75,144,-277
0,299,288,277,-2848,-1872,14292,5,117,-286
0,299,289,277,-2704,-1876,14384,42,186,-268
0,298,289,277,-2816,-1888,14304,12,114,-296
0,299,289,277,-2716,-1964,14172,-30,177,-288
0,299,289,277,-2668,-1984,14356,22,182,-266
0,298,289,278,-2840,-1912,14220,35,197,-277
0,298,289,277,-2836,-1928,14228,-29,114,-287
0,299,289,277,-2792,-1932,14304,68,237,-265
0,299,289,277,-2772,-1904,14504,-7,119,-280
0,298,289,277,-2804,-1904,14348,79,144,-272
0,299,289,277,-2852,-1900,14408,-28,106,-275
0,298,288,277,-2748,-1904,14472,22,136,-298
0,299,289,277,-2796,-1860,14296,5,164,-282
0,299,289,277,-2788,-1892,14344,-12,155,-283
0,298,289,276,-2724,-2000,14152,4,239,-283
0,299,289,277,-2728,-1928,14364,-35,170,-280
0,298,289,277,-2892,-1984,14376,74,138,-275
0,298,288,277,-2780,-1980,14364,14,27,-291
0,299,289,277,-2868,-1888,14432,1,143,-265
0,298,289,277,-2736,-1896,14396,9,166,-260
0,298,289,277,-2816,-1896,14268,-15,149,-284
0,298,289,277,-2764,-1904,14344,16,141,-273
0,299,288,278,-2876,-1792,14200,22,106,-283
0,298,289,277,-2868,-1876,14488,12,129,-278
0,299,289,277,-2724,-1928,14432,75,184,-268
0,299,289,277,-2828,-1928,14292,68,90,-281
0,299,289,277,-2792,-1980,14328,-6,202,-293
0,298,289,277,-2808,-1844,14508,-5,142,-268
0,298,288,277,-2840,-1928,14344,30,51,-321
0,299,289,277,-2780,-1764,14284,11,71,-292
0,299,289,278,-2768,-1840,14452,8,125,-255
0,299,289,277,-2768,-1884,14384,-18,120,-298
0,299,289,277,-2796,-1872,14284,63,201,-269
0,298,289,277,-2848,-1892,14328,14,158,-292
0,299,288,277,-2768,-1964,14288,44,172,-295
0,298,288,277,-2808,-1844,14508,6,162,-274
0,299,289,277,-2796,-1976,14448,108,213,-286
0,299,288,277,-2788,-1840,14308,-69,60,-292
0,298,289,277,-2800,-1860,14376,-24,183,-264
0,299,288,277,-2852,-1956,14280,-3,138,-309
0,299,289,277,-2760,-2012,14452,-1,171,-300
0,299,288,277,-2740,-1840,14252,14,233,-284
0,298,289,277,-2772,-2004,14368,-15,162,-291
0,299,289,277,-2812,-1820,14324,50,70,-273
0,299,289,278,-2784,-2008,14364,68,127,-290
0,299,289,277,-2812,-1956,14448,33,135,-283
0,298,289,277,-2888,-1972,14320,35,273,-254
0,298,289,277,-2732,-1888,14360,-12,146,-286
0,299,289,277,-2724,-1904,14432,12,189,-289
0,299,289,277,-2768,-1956,14264,3,106,-314
0,299,288,277,-2796,-1940,14264,36,157,-263
0,299,289,277,-2768,-2016,14332,36,160,-275
0,299,289,277,-2836,-1884,14200,-6,200,-282
0,299,289,277,-2800,-2024,14388,-35,79,-293
0,299,289,277,-2840,-1968,14284,42,145,-309
0,298,289,277,-2916,-1952,14352,59,126,-300
0,298,289,277,-2784,-1888,14324,-26,2,-276
0,298,289,277,-2776,-1808,14416,-18,131,-295
0,298,289,277,-2900,-1920,14260,5,189,-297
0,299,289,277,-2796,-1952,14380,-9,147,-292
0,298,289,277,-2720,-1980,14276,57,153,-279
0,299,288,277,-2736,-1832,14464,-2,54,-294
0,298,289,277,-2752,-1972,14260,34,167,-280
0,299,289,277,-2812,-1912,14260,35,184,-261
0,298,289,277,-2892,-1888,14400,-30,132,-287
0,298,289,277,-2748,-1912,14376,10,124,-302
0,298,289,277,-2804,-1920,14384,9,35,-291
0,299,289,277,-2836,-1972,14348,-30,85,-276
0,299,289,277,-2772,-2080,14260,-41,127,-265
0,299,289,277,-2668,-1920,14192,82,171,-289
0,298,289,277,-2812,-1932,14272,51,143,-275
0,299,289,277,-2724,-1932,14172,18,151,-260
0,299,289,277,-2804,-1884,14344,-1,197,-297
0,299,288,277,-2696,-1888,14356,61,136,-280
0,298,289,277,-2876,-1916,14324,34,99,-299
0,298,289,278,-2704,-1880,14268,-5,171,-286
0,298,289,277,-2800,-1856,14364,1,134,-287
0,298,289,277,-2756,-1904,14180,24,100,-291
0,300,289,277,-2796,-1980,14400,4,203,-285
0,299,289,277,-2824,-1888,14268,29,178,-269
0,298,289,277,-2772,-1928,14204,56,136,-273
0,299,288,277,-2744,-1992,14472,65,160,-272
0,298,289,277,-2836,-1872,14524,-9,155,-303
0,299,290,277,-2844,-1912,14236,28,165,-291
0,299,289,277,-2776,-1888,14248,24,151,-290
0,299,288,277,-2816,-1832,14476,49,124,-286
0,298,289,277,-2768,-1940,14364,-39,162,-269
0,298,289,277,-2792,-1844,14368,-7,142,-293
0,298,289,277,-2820,-2000,14268,40,156,-286
0,299,289,277,-2884,-1864,14220,-13,125,-303
0,299,288,277,-2752,-1948,14292,35,171,-271
0,298,289,277,-2764,-2032,14192,11,73,-290
0,298,289,277,-2884,-1956,14460,14,143,-272
0,299,289,277,-2804,-1916,14364,19,130,-272
0,298,289,277,-2792,-1860,14344,17,140,-279
0,299,289,277,-2908,-1880,14296,9,150,-277
0,299,288,277,-2660,-1996,14356,43,165,-284
0,299,289,277,-2864,-1924,14328,6,123,-301
0,299,289,278,-2724,-1936,14152,18,150,-279
0,299,289,277,-2764,-1956,14332,50,128,-274
0,299,289,277,-2884,-1892,14288,10,190,-290
0,299,289,277,-2748,-1884,14336,58,116,-285
0,299,289,277,-2724,-1844,14460,16,158,-271
0,299,289,277,-2664,-1816,14500,-36,75,-309
0,299,289,277,-2812,-1968,14180,-78,97,-273
0,299,289,277,-2668,-1868,14348,31,140,-299
0,298,288,277,-2800,-2016,14276,6,131,-265
0,298,289,277,-2728,-2052,14264,16,147,-284
0,299,289,277,-2796,-1964,14264,-23,35,-313
0,298,289,277,-2804,-1916,14128,-14,104,-264
0,299,289,277,-2836,-1868,14252,37,58,-282
0,299,289,277,-2796,-1916,14344,-21,135,-283
0,298,289,277,-2720,-1876,14308,26,167,-282
0,298,289,277,-2760,-1884,14308,-39,163,-282
0,298,289,277,-2824,-1928,14316,43,140,-288
0,299,289,277,-2860,-1952,14348,66,124,-283
0,298,289,277,-2816,-1936,14280,-14,148,-297
0,298,289,277,-2720,-1844,14296,45,136,-293
0,299,289,277,-2752,-2048,14340,-23,209,-280
0,299,289,277,-2916,-1948,14384,14,134,-267
0,298,289,277,-2796,-1916,14276,5,161,-272
0,298,289,277,-2820,-1876,14096,7,265,-302
0,299,289,277,-2868,-1852,14428,12,141,-277
0,299,289,277,-2772,-2004,14128,32,136,-289
0,299,289,277,-2868,-2016,14248,-11,147,-256
0,299,289,277,-2748,-1940,14232,14,172,-302
0,299,289,277,-2692,-1956,14296,17,152,-266
0,299,289,277,-2816,-2064,14356,37,108,-295
